pref_code,prefecture,slug,gora_area_path,course_count,weekday_median_yen,holiday_median_yen,avg_rating,review_count,snapshot_date,source_url
1,北海道,hokkaido,hokkaido,130,6000,8000,4.06,140783,2026-09-18,https://47golf-guide.com/data/
2,青森県,aomori,aomori,11,10100,13425,4.23,2617,2026-09-18,https://47golf-guide.com/data/
3,岩手県,iwate,iwate,17,6535,9800,3.98,7530,2026-09-18,https://47golf-guide.com/data/
4,宮城県,miyagi,miyagi,30,5640,8000,4.03,65869,2026-09-18,https://47golf-guide.com/data/
5,秋田県,akita,akita,8,6500,9300,4.16,1855,2026-09-18,https://47golf-guide.com/data/
6,山形県,yamagata,yamagata,12,7500,8500,3.89,4381,2026-09-18,https://47golf-guide.com/data/
7,福島県,fukushima,fukushima,34,5000,7500,4.04,82227,2026-09-18,https://47golf-guide.com/data/
8,茨城県,ibaraki,ibaraki,101,5400,8800,4.13,737442,2026-09-18,https://47golf-guide.com/data/
9,栃木県,tochigi,tochigi,110,5380,8850,4.15,787552,2026-09-18,https://47golf-guide.com/data/
10,群馬県,gunma,gunma,62,5980,8830,4.13,305348,2026-09-18,https://47golf-guide.com/data/
11,埼玉県,saitama,saitama,67,8700,12500,4.05,286775,2026-09-18,https://47golf-guide.com/data/
12,千葉県,chiba,chiba,145,7385,11500,4.18,775439,2026-09-18,https://47golf-guide.com/data/
13,東京都,tokyo,tokyo,9,12810,16450,4.16,6917,2026-09-18,https://47golf-guide.com/data/
14,神奈川県,kanagawa,kanagawa,34,8775,13500,3.95,76305,2026-09-18,https://47golf-guide.com/data/
15,新潟県,niigata,niigata,39,7940,10120,4.19,21923,2026-09-18,https://47golf-guide.com/data/
16,富山県,toyama,toyama,13,7500,9900,4.13,10176,2026-09-18,https://47golf-guide.com/data/
17,石川県,ishikawa,ishikawa,21,6700,9590,4.12,28463,2026-09-18,https://47golf-guide.com/data/
18,福井県,fukui,fukui,11,6100,8495,4.02,11996,2026-09-18,https://47golf-guide.com/data/
19,山梨県,yamanashi,yamanashi,41,8900,11700,4.15,109618,2026-09-18,https://47golf-guide.com/data/
20,長野県,nagano,nagano,61,7565,10470,4.07,57518,2026-09-18,https://47golf-guide.com/data/
21,岐阜県,gifu,gifu,78,5980,9215,4.11,258160,2026-09-18,https://47golf-guide.com/data/
22,静岡県,shizuoka,shizuoka,80,7490,11667,4.14,221879,2026-09-18,https://47golf-guide.com/data/
23,愛知県,aichi,aichi,35,6759,9375,4.07,54420,2026-09-18,https://47golf-guide.com/data/
24,三重県,mie,mie,62,5599,8499,4.14,317987,2026-09-18,https://47golf-guide.com/data/
25,滋賀県,shiga,shiga,38,6957,10986,4.23,152599,2026-09-18,https://47golf-guide.com/data/
26,京都府,kyoto,kyoto,25,5500,8490,4.02,120683,2026-09-18,https://47golf-guide.com/data/
27,大阪府,osaka,osaka,35,6000,7415,4.02,79225,2026-09-18,https://47golf-guide.com/data/
28,兵庫県,hyogo,hyogo,139,5690,9000,4.08,682684,2026-09-18,https://47golf-guide.com/data/
29,奈良県,nara,nara,29,6285,9660,4.05,115113,2026-09-18,https://47golf-guide.com/data/
30,和歌山県,wakayama,wakayama,22,6495,9315,3.92,37404,2026-09-18,https://47golf-guide.com/data/
31,鳥取県,tottori,tottori,9,6900,9500,4.17,4521,2026-09-18,https://47golf-guide.com/data/
32,島根県,shimane,shimane,7,5000,6750,3.88,3900,2026-09-18,https://47golf-guide.com/data/
33,岡山県,okayama,okayama,39,5980,9585,4.08,72964,2026-09-18,https://47golf-guide.com/data/
34,広島県,hiroshima,hiroshima,38,5000,8500,4.07,61782,2026-09-18,https://47golf-guide.com/data/
35,山口県,yamaguchi,yamaguchi,28,5500,9850,4.00,44455,2026-09-18,https://47golf-guide.com/data/
36,徳島県,tokushima,tokushima,14,7203,10090,3.95,19466,2026-09-18,https://47golf-guide.com/data/
37,香川県,kagawa,kagawa,16,6995,11030,4.12,18371,2026-09-18,https://47golf-guide.com/data/
38,愛媛県,ehime,ehime,18,6300,9650,4.14,8703,2026-09-18,https://47golf-guide.com/data/
39,高知県,kochi,kochi,9,8480,10660,3.78,2590,2026-09-18,https://47golf-guide.com/data/
40,福岡県,fukuoka,fukuoka,50,7500,9500,3.99,93927,2026-09-18,https://47golf-guide.com/data/
41,佐賀県,saga,saga,22,7900,10800,3.96,39421,2026-09-18,https://47golf-guide.com/data/
42,長崎県,nagasaki,nagasaki,22,6000,7990,4.16,19187,2026-09-18,https://47golf-guide.com/data/
43,熊本県,kumamoto,kumamoto,40,5990,9230,4.05,61227,2026-09-18,https://47golf-guide.com/data/
44,大分県,oita,oita,23,4700,6900,4.04,55940,2026-09-18,https://47golf-guide.com/data/
45,宮崎県,miyazaki,miyazaki,26,6200,9045,4.10,18390,2026-09-18,https://47golf-guide.com/data/
46,鹿児島県,kagoshima,kagoshima,26,7250,10390,4.14,21719,2026-09-18,https://47golf-guide.com/data/
47,沖縄県,okinawa,okinawa,22,8800,12500,3.94,23752,2026-09-18,https://47golf-guide.com/data/
